Country Name,Country Code,Indicator Name,Indicator Code,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022
Slovenia,SVN,GDP per capita (current US$),NY.GDP.PCAP.CD,22641.80512,23503.28249,24247.17332,20890.16643,21678.35947,23514.02546,26123.74713,26016.07868,25545.241,29291.40062,29457.40284
Sweden,SWE,GDP per capita (current US$),NY.GDP.PCAP.CD,58037.82132,61126.9432,60020.36046,51545.48361,51965.15715,53791.50873,54589.06039,51939.42974,52837.90398,61143.22124,55873.22081
Eswatini,SWZ,GDP per capita (current US$),NY.GDP.PCAP.CD,4396.57932,4111.128353,3928.522911,3583.31129,3339.990427,3824.046783,4021.445556,3818.540425,3372.904639,3982.905229,4039.518036
Sint Maarten (Dutch part),SXM,GDP per capita (current US$),NY.GDP.PCAP.CD,28460.33262,27942.88054,33043.68838,32274.89055,31616.6817,29369.05683,28988.25921,35084.03519,29314.09429,32316.59598,36220.33801
Seychelles,SYC,GDP per capita (current US$),NY.GDP.PCAP.CD,12342.51009,14729.62703,15188.17428,14894.48578,15409.80502,15961.24168,16409.47113,16851.11976,12020.02191,12963.06467,15874.54007
Syrian Arab Republic,SYR,GDP per capita (current US$),NY.GDP.PCAP.CD,1910.604526,993.7398831,1071.234204,857.4978675,664.3416723,862.3190638,1111.872093,1124.520554,537.2113614,,
Turks and Caicos Islands,TCA,GDP per capita (current US$),NY.GDP.PCAP.CD,22666.40691,22451.56873,24040.87466,25783.2941,26995.03216,25659.19586,26831.97146,27795.14856,20882.26127,23158.6379,24917.59581
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,969.6161419,980.0835447,1017.787762,774.4116031,691.9800774,662.8974734,720.2651009,701.6212008,643.7722162,685.690315,716.8043812
East Asia & Pacific (IDA & IBRD countries),TEA,GDP per capita (current US$),NY.GDP.PCAP.CD,5436.729682,5948.470989,6361.982211,6574.573472,6664.813409,7228.801102,8032.844513,8259.763256,8354.652938,9921.177706,10062.92244
Europe & Central Asia (IDA & IBRD countries),TEC,GDP per capita (current US$),NY.GDP.PCAP.CD,10420.82559,10963.29261,10296.60255,7995.188562,7640.98436,8532.086433,8869.055827,9016.263771,8439.667109,9983.847669,11324.51067
Togo,TGO,GDP per capita (current US$),NY.GDP.PCAP.CD,759.8959722,826.4286073,853.0078138,760.2429116,787.2801616,814.4198376,873.5551563,848.3048269,875.2454099,964.0500102,918.3767558
